"partie","player","stratCulture","stratParcelle","stratOrdreIrrig","stratSeau.x","stratSeau.y","stratSeau"
1,"p1","1",6,1,3,0,0
2,"p1","0.666666666666667",9,2,3,1,2
3,"p1","0.8",5,2,1,0,2
4,"p1","0.6",5,2,2,0,1
5,"p1","0.4",5,2,1,0,2
6,"p1","0.833333333333333",6,1,1,1,1
7,"p1","0.428571428571429",7,1,0,0,4
8,"p1","0.2",5,2,2,1,0
9,"p1","0.666666666666667",12,1,5,0,1
10,"p1","0.375",8,1,1,2,2
11,"p1","0.384615384615385",13,2,2,0,5
12,"p1","0.6",5,1,0,0,3
13,"p1","0.5",6,1,1,1,1
14,"p1","0.6",5,1,3,0,0
15,"p1","0.875",8,2,4,0,1
16,"p1","0.777777777777778",9,2,3,0,2
17,"p1","0.5",6,1,2,0,1
18,"p1","0.727272727272727",11,1,4,2,0
19,"p1","0.5",8,2,2,0,2
20,"p1","0.333333333333333",6,2,0,0,3
21,"p1","0.4",5,1,1,0,2
22,"p1","0.222222222222222",9,2,2,2,2
23,"p1","0.428571428571429",7,1,3,1,0
24,"p1","0.428571428571429",7,1,5,0,0
25,"p1","0.4",5,2,2,0,1
26,"p1","0.857142857142857",7,2,2,0,2
27,"p1","0.4",5,1,0,0,3
28,"p1","0.5",10,1,1,0,4
29,"p1","0.166666666666667",6,1,2,0,1
30,"p1","0.444444444444444",9,1,1,4,0
31,"p1","0.444444444444444",9,1,2,1,3
32,"p1","0.333333333333333",6,2,1,1,2
33,"p1","0.666666666666667",3,1,2,0,1
34,"p1","0.5",6,1,1,0,2
35,"p1","0.5",6,2,1,2,0
36,"p1","0",5,2,2,0,1
37,"p1","0.333333333333333",6,1,2,0,1
38,"p1","0.666666666666667",6,2,1,0,2
39,"p1","0.5",6,1,0,1,2
40,"p1","0.555555555555556",9,2,0,0,6
41,"p1","0.333333333333333",6,3,2,0,1
42,"p1","0.5",4,1,0,0,3
43,"p1","0.5",6,2,1,1,1
44,"p1","0.5",6,2,2,1,0
45,"p1","0.444444444444444",9,2,1,0,5
46,"p1","0.666666666666667",6,2,4,0,0
47,"p1","0.833333333333333",6,1,3,0,0
48,"p1","0.333333333333333",6,1,2,0,1
49,"p1","0.333333333333333",9,1,2,2,1
50,"p1","0.333333333333333",6,2,1,0,2
51,"p1","0.7",10,1,3,3,0
52,"p1","0.333333333333333",6,1,3,0,0
53,"p1","0.25",4,2,1,0,2
54,"p1","0.8",10,2,3,0,3
55,"p1","1",5,1,2,0,1
56,"p1","0.666666666666667",6,2,2,0,1
57,"p1","0.5",6,2,0,0,3
58,"p1","0.5",8,1,2,1,1
59,"p1","0.6",5,2,0,0,3
60,"p1","0.4",5,2,2,1,0
61,"p1","0.75",4,2,3,0,0
62,"p1","0.333333333333333",6,1,1,0,2
63,"p1","0.8",5,2,1,0,2
64,"p1","0.625",8,2,0,0,5
65,"p1","0.428571428571429",7,2,4,0,1
66,"p1","0.545454545454545",11,2,2,0,4
67,"p1","0.583333333333333",12,2,2,0,4
68,"p1","0.2",5,3,0,0,3
69,"p1","0.6",5,2,3,0,1
70,"p1","0.333333333333333",6,2,0,0,3
71,"p1","0.2",5,2,0,0,3
72,"p1","0.454545454545455",11,1,2,0,4
73,"p1","0.666666666666667",6,1,0,0,3
74,"p1","0.571428571428571",7,2,1,1,2
75,"p1","0.8",5,2,1,0,2
76,"p1","0.333333333333333",6,1,1,0,2
77,"p1","0.416666666666667",12,2,4,1,2
78,"p1","0.666666666666667",6,1,2,0,1
79,"p1","0.555555555555556",9,1,1,2,2
80,"p1","0.545454545454545",11,2,4,0,2
81,"p1","0.5",4,2,1,2,0
82,"p1","0.4",5,2,2,0,1
83,"p1","0.363636363636364",11,2,2,0,4
84,"p1","0.625",8,2,3,1,1
85,"p1","0.5",10,2,2,0,3
86,"p1","0.454545454545455",11,2,5,1,1
87,"p1","0.333333333333333",12,1,1,2,3
88,"p1","0.166666666666667",6,2,1,0,3
89,"p1","0.5",6,2,3,0,0
90,"p1","0.181818181818182",11,2,5,0,1
91,"p1","0.4",5,2,0,0,3
92,"p1","0.428571428571429",7,2,1,0,3
93,"p1","0.333333333333333",6,1,1,1,1
94,"p1","0.5",6,1,1,0,3
95,"p1","0.454545454545455",11,1,5,0,1
96,"p1","0.333333333333333",6,3,3,0,1
97,"p1","0.4",5,1,1,2,0
98,"p1","0.75",4,2,2,0,1
99,"p1","0.583333333333333",12,2,2,0,4
100,"p1","0.2",5,1,3,0,1
101,"p1","0.4",5,2,0,0,3
102,"p1","0.333333333333333",6,2,0,0,3
103,"p1","0.166666666666667",6,2,0,0,3
104,"p1","0.166666666666667",6,2,2,0,1
105,"p1","0.6",5,2,0,0,3
106,"p1","0.333333333333333",6,2,3,0,0
107,"p1","0.5",4,3,2,0,1
108,"p1","0.7",10,2,3,2,1
109,"p1","0.5",4,2,1,0,2
110,"p1","0.5",6,2,2,0,1
111,"p1","0.538461538461538",13,1,3,2,2
112,"p1","0.5",6,1,2,1,0
113,"p1","0.666666666666667",6,2,1,0,3
114,"p1","0.25",4,2,2,0,1
