"partie","player","stratCulture","stratParcelle","stratOrdreIrrig","stratSeau","stratGG","stratLance","capital","profnappe","prelevement","puits","agrandissement","empechement"
1,"p1",0.5,8,2,2,4,0,63,10.062,39,10,0,2
2,"p1",0.5,12,2.33333333333333,6,0,8,37.5,4.914,93,20,1,2
3,"p1",1,3,3.33333333333333,0,0,2,0,4.563,0,5,1,14
4,"p1",0,1,3,0,0,6,2,2.379,0,10,1,12
5,"p1",0.75,12,2,4,0,8,29,6.006,97,30,0,0
6,"p1",0.545454545454545,11,3,6,0,0,25,2.223,61,30,0,6
7,"p1",0.4,10,3,8,2,0,62,6.435,51,10,1,8
8,"p1",0.7,10,3.33333333333333,2,0,4,16.5,8.775,52,20,-1,4
9,"p1",0.454545454545455,11,2.33333333333333,0,0,12,32.5,9.516,118,20,0,0
10,"p1",0.6,5,3.33333333333333,0,0,3,20,5.655,13,5,-1,3
11,"p1",0.6,10,3,4,1,2,39,5.577,48,10,0,5
12,"p1",0.666666666666667,12,3.66666666666667,2,2,4,27.5,5.343,55,20,1,6
13,"p1",0.5,2,2.66666666666667,0,0,2,1,2.418,0,0,-1,6
14,"p1",0.833333333333333,6,2.33333333333333,0,2,4,33,5.733,42,15,-1,0
15,"p1",0.4,5,2.33333333333333,0,0,4,24.5,3.822,50,10,-1,2
16,"p1",0.428571428571429,14,3.33333333333333,4,2,4,54.5,7.449,86,15,1,6
17,"p1",0.5,10,2,2,6,1,30,6.747,55,25,0,3
18,"p1",0.666666666666667,9,4,4,3,2,50,8.541,47,10,0,3
19,"p1",0,2,3.33333333333333,0,0,4,0,2.457,0,10,0,8
20,"p1",0,3,3.66666666666667,0,0,2,2,3.51,0,5,-1,8
21,"p1",0.5,6,1.66666666666667,1,0,0,30,1.443,10,0,-1,7
22,"p1",0,1,4,0,0,6,2,6.708,0,15,0,6
23,"p1",0.5,8,3,4,0,0,43,4.485,32,5,-1,4
24,"p1",0.75,4,2.33333333333333,0,0,5,0,2.574,7,5,0,7
25,"p1",0.444444444444444,9,1.66666666666667,0,2,4,20,3.744,63,10,-1,4
26,"p1",0.888888888888889,9,2.66666666666667,0,0,14,22,4.524,56,10,1,4
27,"p1",1,4,3,0,0,0,0,3.393,0,0,0,12
28,"p1",1,1,1.33333333333333,0,0,7,1,6.084,0,15,0,5
